PW_ID,HMDB_ID
PW_C043331,
PW_C043427,
PW_C000171,HMDB0000251
PW_C104865,
PW_C000352,HMDB0000462
PW_C043777,
PW_C042275,
PW_C043989,
PW_C043452,
PW_C043340,
PW_C044434,
PW_C000886,HMDB0001134
PW_C043110,
PW_C042341,
PW_C000888,HMDB0001138
PW_C042438,
PW_C105017,
PW_C044280,
PW_C008202,HMDB0013111
PW_C001847,HMDB0003337
PW_C007296,HMDB0011720
PW_C043670,
PW_C040813,
PW_C043855,
PW_C044467,
PW_C037867,HMDB0057413
PW_C001107,HMDB0001432
PW_C043485,
PW_C044286,
PW_C041167,
PW_C000131,HMDB0000205
PW_C044442,
PW_C042847,
PW_C044076,
PW_C043449,
PW_C041698,
PW_C001872,HMDB0003403
PW_C104966,
PW_C040990,
PW_C044278,
PW_C105051,
PW_C044018,
PW_C041769,
PW_C044198,
PW_C007894,HMDB0012365
PW_C042130,
PW_C043164,
PW_C007243,HMDB0011661
PW_C104855,
PW_C104965,
PW_C041946,
PW_C043152,
PW_C043506,
PW_C105078,
PW_C000105,HMDB0000161
PW_C000540,HMDB0000687
PW_C041180,HMDB0060381
PW_C041172,HMDB0060358
PW_C105046,
PW_C000855,HMDB0001087
PW_C007863,HMDB0012333
PW_C000548,HMDB0000696
PW_C041140,
PW_C041712,
PW_C043560,
PW_C037898,HMDB0057444
PW_C041793,
PW_C043117,
PW_C043403,
PW_C041737,
PW_C043997,
PW_C043079,
PW_C042168,
PW_C002007,HMDB0003943
PW_C042154,
PW_C105052,
PW_C041560,
PW_C043125,
PW_C041113,
PW_C042767,
PW_C042143,
PW_C040969,
PW_C042051,
PW_C000868,HMDB0001109
PW_C043756,
PW_C042025,
PW_C000140,HMDB0000214
PW_C104919,
PW_C043753,
PW_C042708,
PW_C044445,
PW_C044433,
PW_C042203,
PW_C044192,
PW_C042450,
PW_C105045,
PW_C040988,
PW_C042719,
PW_C042207,
PW_C062270,HMDB0114852
PW_C055537,
PW_C000095,HMDB0000148
PW_C043726,
PW_C042777,
PW_C044175,
PW_C042944,
PW_C043000,
PW_C044470,
PW_C057030,
PW_C041604,
PW_C044003,
PW_C007892,HMDB0012363
PW_C042248,
PW_C000795,HMDB0001005
PW_C042419,
PW_C040076,HMDB0059639
PW_C044456,
PW_C042943,
PW_C043729,
PW_C044455,
PW_C042389,
PW_C005004,HMDB0008956
PW_C038775,HMDB0058321
PW_C037954,HMDB0057500
PW_C104916,
PW_C105007,
PW_C043559,
PW_C043631,
PW_C000514,HMDB0000657
PW_C105087,
PW_C104991,
PW_C105025,
PW_C004970,HMDB0008922
PW_C044290,
PW_C043068,
PW_C043843,
PW_C036988,HMDB0056534
PW_C007886,HMDB0012357
PW_C044247,
PW_C004874,HMDB0008826
PW_C042803,
PW_C042020,
PW_C042152,
PW_C041864,
PW_C044212,
PW_C040771,
PW_C042336,
PW_C041496,
PW_C001210,HMDB0001644
PW_C043739,
PW_C042535,
PW_C044227,
PW_C044191,
PW_C041317,
PW_C000162,HMDB0000240
PW_C042881,
PW_C049957,
PW_C000896,HMDB0001155
PW_C043943,
PW_C044006,
PW_C044493,
PW_C043650,
PW_C037376,HMDB0056922
PW_C043513,
PW_C042945,
PW_C043991,
PW_C041862,
PW_C001996,HMDB0003932
PW_C104862,
PW_C041492,
PW_C041828,
PW_C042547,
PW_C044502,
PW_C042491,
PW_C044529,
PW_C043707,
PW_C042959,
PW_C041794,
PW_C104911,
PW_C041944,
PW_C104946,
PW_C002009,HMDB0003945
PW_C105068,
PW_C042538,
,
PW_C044438,
PW_C041501,
PW_C105096,
PW_C044111,
PW_C044459,
PW_C041563,
PW_C041795,
PW_C040918,
PW_C043176,
PW_C040992,
PW_C001922,HMDB0003551
PW_C041811,
PW_C044475,
PW_C043800,
PW_C008449,HMDB0013533
PW_C041838,
PW_C104953,
PW_C044013,
PW_C043508,
PW_C044276,
PW_C040090,HMDB0059653
PW_C042856,
PW_C001039,HMDB0001347
PW_C041627,
PW_C104979,
PW_C044275,
PW_C043496,
PW_C001632,HMDB0002434
PW_C040981,
PW_C013349,HMDB0032199
PW_C104873,
PW_C043797,
PW_C044061,
PW_C043033,
PW_C041782,
PW_C042432,
PW_C042352,
PW_C043838,
PW_C042768,
PW_C001045,HMDB0001354
PW_C043931,
PW_C042616,
PW_C041847,
PW_C002005,HMDB0003941
PW_C104833,
PW_C040856,
PW_C043444,
PW_C041937,
PW_C040839,
PW_C043589,
PW_C105102,
PW_C042909,
PW_C000472,HMDB0000608
PW_C041904,
PW_C000079,HMDB0000124
PW_C000119,HMDB0000186
PW_C042773,
PW_C053694,
PW_C041829,
PW_C105047,
PW_C042698,
PW_C001769,HMDB0003070
PW_C043938,
PW_C044066,
PW_C003907,HMDB0007856
PW_C044254,
PW_C105036,
PW_C042864,
PW_C042150,
PW_C043159,
PW_C044190,
PW_C043728,
PW_C056440,
PW_C000032,HMDB0000045
PW_C037013,HMDB0056559
PW_C040919,
PW_C041504,
PW_C104945,
PW_C043462,
PW_C105048,
PW_C043595,
PW_C000517,HMDB0000660
PW_C001556,HMDB0002305
PW_C043876,
PW_C042556,
PW_C042478,
PW_C042730,
PW_C043625,
PW_C062250,HMDB0114833
PW_C105092,
PW_C042515,
PW_C042385,
PW_C038059,HMDB0057605
PW_C043770,
PW_C043269,
PW_C041867,
PW_C043446,
PW_C057114,HMDB0112280
PW_C043981,
PW_C105059,
PW_C043158,
PW_C057064,
PW_C000033,HMDB0000048
PW_C000725,HMDB0000906
PW_C042311,
PW_C043947,
PW_C036999,HMDB0056545
PW_C044448,
PW_C041502,
PW_C043103,
PW_C062342,HMDB0114924
PW_C041045,
PW_C000088,HMDB0000134
PW_C042504,
PW_C001122,HMDB0001453
PW_C037104,HMDB0056650
PW_C043954,
PW_C001061,HMDB0001373
PW_C038840,HMDB0058386
PW_C044228,
PW_C043969,
PW_C000905,HMDB0001167
PW_C000808,HMDB0001022
PW_C000982,HMDB0001269
PW_C042493,
PW_C043209,
PW_C104889,
PW_C044304,
PW_C043847,
PW_C000413,HMDB0000536
PW_C002607,HMDB0005949
PW_C041156,HMDB0060329
PW_C040558,HMDB0061344
PW_C003011,HMDB0006938
PW_C043153,
PW_C040772,
PW_C044219,
PW_C044416,
PW_C043454,
PW_C104940,
PW_C041983,
PW_C043970,
PW_C044056,
PW_C041702,
PW_C001811,HMDB0003229
PW_C042692,
PW_C001152,HMDB0001495
PW_C040974,
PW_C076626,HMDB0116290
PW_C042214,
PW_C041557,
PW_C041500,
PW_C007903,HMDB0012374
PW_C040858,
PW_C042706,
PW_C043228,
PW_C041717,
PW_C008420,HMDB0013504
PW_C041411,
PW_C043995,
PW_C042068,
PW_C000159,HMDB0000237
PW_C042693,
PW_C042472,
PW_C042691,
PW_C042211,
PW_C042210,
PW_C001198,HMDB0001557
PW_C041785,
PW_C041781,
PW_C003019,HMDB0006968
PW_C043475,
PW_C041232,
PW_C042414,
PW_C042498,
PW_C044154,
PW_C043604,
PW_C055603,
PW_C001213,HMDB0001713
PW_C042884,
PW_C001007,HMDB0001308
PW_C042631,
PW_C043596,
PW_C043831,
PW_C042690,
PW_C019513,HMDB0038670
PW_C042771,
PW_C104852,
PW_C042916,
PW_C042034,
PW_C104981,
PW_C000951,HMDB0001228
PW_C043216,
PW_C043913,
PW_C042122,
PW_C042873,
PW_C041827,
PW_C042696,
PW_C105065,
PW_C042021,
PW_C000085,HMDB0000131
PW_C043612,
PW_C044224,
PW_C040975,
PW_C104952,
PW_C044181,
PW_C057066,
PW_C040937,
PW_C041735,
PW_C042820,
PW_C105033,
PW_C041784,
PW_C104992,
PW_C044244,
PW_C104836,
PW_C042917,
PW_C043345,
PW_C043950,
PW_C043827,
PW_C042720,
PW_C040928,
PW_C044242,
PW_C000784,HMDB0000990
PW_C044473,
PW_C042695,
PW_C001316,HMDB0001967
PW_C042543,
PW_C006578,HMDB0010570
PW_C044092,
PW_C000200,HMDB0000294
PW_C044144,
PW_C043108,
PW_C044532,HMDB0062087
PW_C041042,
PW_C007305,HMDB0011731
PW_C042790,
PW_C000020,HMDB0000030
PW_C000790,HMDB0000998
PW_C000915,HMDB0001179
PW_C105038,
PW_C001031,HMDB0001338
PW_C104937,
PW_C044307,
PW_C007794,HMDB0012249
PW_C043804,
PW_C007810,HMDB0012266
PW_C001024,HMDB0001328
PW_C000593,HMDB0000745
PW_C042030,
PW_C042845,
PW_C041682,
PW_C002771,HMDB0006488
PW_C105099,
PW_C000396,HMDB0000517
PW_C007696,HMDB0012136
PW_C000950,HMDB0001227
PW_C000498,HMDB0000639
PW_C044194,
PW_C043534,
PW_C056441,
PW_C043487,
PW_C040749,
PW_C042521,
PW_C042318,
PW_C040978,
PW_C104943,
PW_C042506,
PW_C043464,
PW_C000547,HMDB0000695
PW_C001171,HMDB0001521
PW_C042874,
PW_C036861,HMDB0056407
PW_C001724,HMDB0002878
PW_C043795,
PW_C044161,
PW_C001148,HMDB0001491
PW_C043095,
PW_C044232,
PW_C043422,
PW_C044129,
PW_C042209,
PW_C104920,
PW_C104854,
PW_C044153,
PW_C105095,
PW_C005107,HMDB0009059
PW_C042523,
PW_C044486,
PW_C041112,
PW_C042801,
PW_C044253,
PW_C043248,
PW_C104817,
PW_C001679,HMDB0002666
PW_C037880,HMDB0057426
PW_C043190,
PW_C041243,
PW_C000837,HMDB0001062
PW_C042437,
PW_C001812,HMDB0240219
PW_C000382,HMDB0000500
PW_C036990,HMDB0056536
PW_C042677,
PW_C000988,HMDB0001275
PW_C043858,
PW_C042000,
PW_C042511,
PW_C006638,HMDB0010630
PW_C042329,
PW_C043813,
PW_C041750,
PW_C044472,
PW_C042094,
PW_C043042,
PW_C044122,
PW_C044233,
PW_C004872,HMDB0008824
PW_C001064,HMDB0001376
PW_C041115,
PW_C043864,
PW_C000891,HMDB0001142
PW_C042454,
PW_C043321,
PW_C042789,
PW_C041743,
PW_C043611,
PW_C044094,
PW_C043812,
PW_C041683,
PW_C104887,
PW_C062294,HMDB0114876
PW_C044469,
PW_C042907,
PW_C043450,
PW_C043814,
PW_C042184,
PW_C043706,
PW_C041942,
PW_C041783,
PW_C104942,
PW_C043711,
PW_C043779,
PW_C001199,HMDB0001562
PW_C003028,HMDB0006977
PW_C043106,
PW_C104973,
PW_C001055,HMDB0001367
PW_C042918,
PW_C043096,
PW_C104993,
PW_C002001,HMDB0003937
PW_C043214,
PW_C000029,HMDB0000042
PW_C063884,HMDB0114766
PW_C042423,
PW_C043977,
PW_C104923,
PW_C043312,HMDB0060091
PW_C000177,HMDB0000258
PW_C105024,
PW_C043268,
PW_C000477,HMDB0000614
PW_C000391,HMDB0000511
PW_C007907,HMDB0012378
PW_C043937,
PW_C044441,
PW_C042548,
PW_C003904,HMDB0007853
PW_C043094,
PW_C043949,
PW_C041958,
PW_C040845,
PW_C042139,
PW_C000765,HMDB0000958
PW_C042972,
PW_C000192,HMDB0000285
PW_C001027,HMDB0001333
PW_C044169,
PW_C042930,
PW_C105000,
PW_C042116,
PW_C000463,HMDB0000595
PW_C043460,
PW_C043338,
PW_C040995,
PW_C044059,
PW_C043289,
PW_C043075,
PW_C104837,
PW_C044291,
PW_C041940,
PW_C044034,
PW_C043406,
PW_C043240,
PW_C040763,
PW_C044077,
PW_C000063,HMDB0000094
PW_C043553,
PW_C043871,
PW_C041699,
PW_C062372,HMDB0114954
PW_C044235,
PW_C044488,
PW_C104987,
PW_C001345,HMDB0002009
PW_C000040,HMDB0000056
PW_C007308,HMDB0011734
PW_C041014,
PW_C042550,
PW_C008390,HMDB0013473
PW_C057061,
PW_C043842,
PW_C036845,HMDB0056391
PW_C005037,HMDB0008989
PW_C044167,
PW_C055372,
PW_C043480,
PW_C043482,
PW_C001401,HMDB0002086
PW_C044292,
PW_C055825,
PW_C040740,
PW_C041509,
PW_C040841,
PW_C040982,
PW_C104856,
PW_C042410,
PW_C043492,
PW_C007864,HMDB0012334
PW_C000373,HMDB0000491
PW_C038077,HMDB0057623
PW_C042838,
PW_C042104,
PW_C042157,
PW_C104901,
PW_C044200,
PW_C043545,
PW_C104961,
PW_C002796,HMDB0006529
PW_C006752,HMDB0011110
PW_C000894,HMDB0001149
PW_C043097,
PW_C104986,
PW_C002956,HMDB0006831
PW_C105004,
PW_C000076,HMDB0000121
PW_C104827,
PW_C041157,HMDB0060330
PW_C043218,
PW_C002006,HMDB0003942
PW_C040792,
PW_C042953,
PW_C041790,
PW_C008080,HMDB0012710
PW_C000024,HMDB0000034
PW_C041126,
PW_C043019,
PW_C044452,
PW_C044491,
PW_C041004,
PW_C000704,HMDB0000883
PW_C055516,
PW_C043569,
PW_C041845,
PW_C043787,
PW_C042501,
PW_C042800,
PW_C000204,HMDB0000300
PW_C043723,
PW_C104848,
PW_C040844,
PW_C104838,
PW_C040711,HMDB0061380
PW_C104870,
PW_C044020,
PW_C043743,
PW_C040083,HMDB0059646
PW_C006580,HMDB0010572
PW_C042520,
PW_C042539,
PW_C043888,
PW_C041943,
PW_C042249,
PW_C043835,
PW_C043471,
PW_C104968,
PW_C104819,
PW_C002002,HMDB0003938
PW_C043590,
PW_C104850,
PW_C000893,HMDB0001147
PW_C042542,
PW_C040987,
PW_C040943,
PW_C001347,HMDB0002012
PW_C041722,
PW_C042685,
PW_C043869,
PW_C043273,
PW_C042026,
PW_C105050,
PW_C105075,
PW_C044496,
PW_C041813,
PW_C043851,
PW_C007782,HMDB0012236
PW_C000174,HMDB0000254
PW_C000176,HMDB0000257
PW_C041114,
PW_C042544,
PW_C000134,HMDB0000208
PW_C001329,HMDB0001983
PW_C042860,
PW_C042714,
PW_C043220,
PW_C000043,HMDB0000061
PW_C104947,
PW_C041857,
PW_C042060,
PW_C044174,
PW_C001035,HMDB0001342
PW_C040753,
PW_C000180,HMDB0000263
PW_C105028,
PW_C000661,HMDB0000827
PW_C041818,
PW_C043859,
PW_C104825,
PW_C044309,
PW_C104949,
PW_C040991,
PW_C055513,
PW_C043767,
PW_C043632,
PW_C043730,
PW_C004935,HMDB0008887
PW_C041739,
PW_C042806,
PW_C043528,
PW_C042321,
PW_C044415,
PW_C104955,
PW_C001142,HMDB0001484
PW_C000366,HMDB0000482
PW_C042689,
PW_C042722,
PW_C044271,
PW_C043725,
PW_C044203,
PW_C000934,HMDB0001199
PW_C062135,HMDB0062509
PW_C042694,
PW_C002761,HMDB0006471
PW_C105039,
PW_C042433,
PW_C004973,HMDB0008925
PW_C001196,HMDB0001554
PW_C000487,HMDB0000626
PW_C041226,
PW_C105015,
PW_C042656,
PW_C044079,
PW_C042818,
PW_C042317,
PW_C044143,
PW_C042794,
PW_C008081,HMDB0012715
PW_C104897,
PW_C001706,HMDB0002786
PW_C042287,
PW_C042095,
PW_C004937,HMDB0008889
PW_C044100,
PW_C000955,HMDB0001235
PW_C040865,
PW_C002003,HMDB0003939
PW_C044104,
PW_C044229,
PW_C043217,
PW_C008405,HMDB0013488
PW_C042829,
PW_C000194,HMDB0000288
PW_C104906,
PW_C041136,
PW_C043614,
PW_C043566,
PW_C041668,
PW_C001034,HMDB0001341
PW_C042899,
PW_C044220,
PW_C043936,
PW_C055650,
PW_C104936,
PW_C062229,HMDB0114812
PW_C001868,HMDB0003379
PW_C001938,HMDB0003609
PW_C042206,
PW_C044199,
PW_C041250,
PW_C043704,
PW_C043976,
PW_C043819,
PW_C044019,
PW_C042606,
PW_C043872,
PW_C043952,
PW_C004968,HMDB0008920
PW_C105014,
PW_C041602,
PW_C041220,
PW_C042868,
PW_C006324,HMDB0010314
PW_C000580,HMDB0000731
PW_C043626,
PW_C044043,
PW_C043178,
PW_C043593,
PW_C043139,
PW_C008468,HMDB0013552
PW_C105091,
PW_C044108,
PW_C043963,
PW_C060810,HMDB0112409
PW_C041941,
PW_C044171,
PW_C043512,
PW_C105049,
PW_C042826,
PW_C000644,HMDB0000807
PW_C041918,
PW_C044002,
PW_C000900,HMDB0001162
PW_C042212,
PW_C043811,
PW_C044177,
PW_C043942,
PW_C043027,HMDB0060446
PW_C043957,
PW_C007896,HMDB0012367
PW_C055519,
PW_C037091,HMDB0056637
PW_C042408,
PW_C001050,HMDB0001361
PW_C000927,HMDB0001191
PW_C000969,HMDB0001254
PW_C044446,
PW_C041129,
PW_C043955,
PW_C105086,
PW_C000144,HMDB0000218
PW_C006579,HMDB0010571
PW_C043628,
PW_C042765,
PW_C041130,HMDB0149325
PW_C001875,HMDB0003406
PW_C043683,
PW_C044096,
PW_C042890,
PW_C104875,
PW_C044016,
PW_C041860,
PW_C042858,
PW_C002809,HMDB0006557
PW_C006753,HMDB0011111
PW_C008404,HMDB0013487
PW_C037014,HMDB0056560
PW_C056372,
PW_C043210,
PW_C042476,
PW_C000940,HMDB0001206
PW_C044241,
PW_C044073,
PW_C104877,
PW_C040807,
PW_C043419,
PW_C002734,HMDB0006354
PW_C001850,HMDB0003344
PW_C042863,
PW_C104820,
PW_C043470,
PW_C104824,
PW_C042490,
PW_C042955,
PW_C042052,
PW_C041302,
PW_C037119,HMDB0056665
PW_C105094,
PW_C041839,
PW_C000819,HMDB0001039
PW_C042532,
PW_C044091,
PW_C002013,HMDB0003949
PW_C060757,HMDB0112357
PW_C041997,
PW_C000974,HMDB0001261
PW_C001399,HMDB0002084
PW_C043263,
PW_C044422,
PW_C104922,
PW_C043940,
PW_C042201,
PW_C043911,
PW_C042345,
PW_C040976,
PW_C043194,
PW_C042073,
PW_C044189,
PW_C042854,
PW_C043543,
PW_C044313,
PW_C041806,
PW_C043379,
PW_C042933,
PW_C043665,
PW_C043557,
PW_C044430,
PW_C105012,
PW_C042488,
PW_C043371,
PW_C040758,
PW_C105034,
PW_C057077,HMDB0112273
PW_C043308,
PW_C040972,
PW_C043741,
PW_C000741,HMDB0000929
PW_C042153,
PW_C042850,
PW_C044471,
PW_C041796,
PW_C043442,
PW_C043857,
PW_C104830,
PW_C044281,
PW_C043829,
PW_C037877,HMDB0057423
PW_C043077,
PW_C042819,
PW_C042486,
PW_C104888,
PW_C104892,
PW_C042417,
PW_C043498,
PW_C053752,
PW_C105030,
PW_C037115,HMDB0056661
PW_C041041,
PW_C042718,
PW_C042671,
PW_C041173,
PW_C044503,
PW_C042912,
PW_C041600,
PW_C042274,
PW_C000971,HMDB0001257
PW_C007823,HMDB0012283
PW_C044289,
PW_C041684,
PW_C041127,
PW_C043244,
PW_C044042,
PW_C043840,
PW_C044095,
PW_C040997,
PW_C000544,HMDB0000692
PW_C040764,
PW_C104914,
PW_C043903,
PW_C043116,
PW_C104930,
PW_C001077,HMDB0001392
PW_C002884,HMDB0006709
PW_C044257,
PW_C040977,
PW_C005036,HMDB0008988
PW_C104822,
PW_C043832,
PW_C040837,
PW_C042409,
PW_C104834,
PW_C041952,
PW_C042844,
PW_C040945,
PW_C007706,HMDB0012149
PW_C043370,
PW_C043998,
PW_C043953,
PW_C104846,
PW_C038779,HMDB0058325
PW_C004972,HMDB0008924
PW_C043865,
PW_C042097,
PW_C042922,
PW_C055362,
PW_C044084,
PW_C000036,HMDB0000052
PW_C105037,
PW_C041490,
PW_C008203,HMDB0013112
PW_C043092,
PW_C042451,
PW_C041508,
PW_C043939,
PW_C042549,
PW_C002699,HMDB0006273
PW_C043115,
PW_C042712,
PW_C040828,
PW_C044484,
PW_C042365,
PW_C044223,
PW_C000114,HMDB0000175
PW_C055889,
PW_C043028,HMDB0062477
PW_C104907,
PW_C060741,HMDB0112342
PW_C042683,
PW_C042849,
PW_C055517,
PW_C042169,
PW_C043301,
PW_C044236,
PW_C041830,
PW_C000872,HMDB0001117
PW_C043320,
PW_C042940,
PW_C043805,
PW_C041765,
PW_C105093,
PW_C043588,
PW_C043825,
PW_C038777,HMDB0058323
PW_C104895,
PW_C044250,
PW_C041146,HMDB0060302
PW_C001396,HMDB0002078
PW_C043467,
PW_C041804,
PW_C006749,HMDB0011106
PW_C044487,
PW_C040445,HMDB0060694
PW_C043754,
PW_C000941,HMDB0001209
PW_C041705,
PW_C057041,
PW_C043165,
PW_C104872,
PW_C104871,
PW_C105023,
PW_C000471,HMDB0000607
PW_C062343,HMDB0114925
PW_C104869,
PW_C001637,HMDB0002457
PW_C057028,
PW_C000921,HMDB0001185
PW_C042383,
PW_C043071,
PW_C041227,
PW_C044506,
PW_C006594,HMDB0010586
PW_C044246,
PW_C042793,
PW_C042181,
PW_C044483,
PW_C044308,
PW_C043519,
PW_C043972,
PW_C040973,
PW_C043647,
PW_C043180,
PW_C040751,
PW_C057058,
PW_C044112,
PW_C000145,HMDB0000220
PW_C007792,HMDB0012247
PW_C104983,
PW_C041599,
PW_C043326,
PW_C000835,HMDB0001060
PW_C043238,
PW_C011104,HMDB0029881
PW_C043807,
PW_C043773,
PW_C104975,
PW_C041457,
PW_C001801,HMDB0003192
PW_C044130,
PW_C005003,HMDB0008955
PW_C044301,
PW_C041993,
PW_C055572,
PW_C041494,
PW_C044088,
PW_C043752,
PW_C044428,
PW_C042446,
PW_C043421,
PW_C042039,
PW_C037599,HMDB0057145
PW_C022608,HMDB0041827
PW_C041043,
PW_C042406,
PW_C105026,
PW_C041926,
PW_C043193,
PW_C041249,
PW_C057038,
PW_C044215,
PW_C001463,HMDB0002174
PW_C041446,
PW_C043511,
PW_C041303,
PW_C055586,
PW_C041141,
PW_C044440,
PW_C044110,
PW_C002004,HMDB0003940
PW_C055622,
PW_C042827,
PW_C001973,HMDB0003826
PW_C042605,
PW_C105011,
PW_C041582,
PW_C003022,HMDB0006971
PW_C105021,
PW_C042759,
PW_C041056,
PW_C042230,
PW_C037950,HMDB0057496
PW_C041315,
PW_C055584,
PW_C005104,HMDB0009056
PW_C044053,
PW_C105053,
PW_C104894,
PW_C043979,
PW_C041751,
PW_C043664,
PW_C044067,
PW_C001952,HMDB0003665
PW_C041137,
PW_C042658,HMDB0060081
PW_C105069,
PW_C043182,
PW_C044461,
PW_C044145,
PW_C042516,
PW_C042684,
PW_C042522,
PW_C008133,HMDB0012943
PW_C105074,
PW_C043708,
PW_C042723,
PW_C000983,HMDB0001270
PW_C064211,HMDB0115825
PW_C000122,HMDB0000190
PW_C044211,
PW_C104967,
PW_C062293,HMDB0114875
PW_C043351,
PW_C043304,
PW_C043520,
PW_C043681,
PW_C001557,HMDB0002306
PW_C044480,
PW_C043900,
PW_C040811,
PW_C044432,
PW_C041287,
PW_C000109,HMDB0000167
PW_C041493,
PW_C040985,
PW_C044451,
PW_C000148,HMDB0000223
PW_C042310,
PW_C104958,
PW_C001161,HMDB0001508
PW_C056353,
PW_C041432,
PW_C104859,
PW_C000151,HMDB0000226
