GTP [ChEBI:15996],CHEBI:15996
succinate(2-) [ChEBI:30031],CHEBI:30031
artemorin [ChEBI:2853],CHEBI:2853
(+)-cis-isohumulone [ChEBI:73236],CHEBI:73236
chloramphenicol [ChEBI:17698],CHEBI:17698
aloin [ChEBI:73222],CHEBI:73222
falcarindiol [ChEBI:69236],CHEBI:69236
alpha-thujone [ChEBI:50042],CHEBI:50042
thiamine [ChEBI:26948],CHEBI:26948
sinigrin(1-) [ChEBI:9162],CHEBI:9162
quinine [ChEBI:15854],CHEBI:15854
tatridin B [ChEBI:73239],CHEBI:73239
Quassin [ChEBI:8692],CHEBI:8692
phenethyl isothiocyanate [ChEBI:351346],CHEBI:351346
parthenolide [ChEBI:7939],CHEBI:7939
cucurbitacin B [ChEBI:3941],CHEBI:3941
absinthin [ChEBI:2366],CHEBI:2366
(-)-noscapine [ChEBI:73237],CHEBI:73237
amarogentin [ChEBI:2622],CHEBI:2622
camphor [ChEBI:36773],CHEBI:36773
Cascarillin [ChEBI:3445],CHEBI:3445
hydroquinone O-beta-D-glucopyranoside [ChEBI:18305],CHEBI:18305
ethylpyrazine [ChEBI:73232],CHEBI:73232
aristolochic acid [ChEBI:2825],CHEBI:2825
Grosshemin [ChEBI:5547],CHEBI:5547
amygdalin [ChEBI:27613],CHEBI:27613
limonin [ChEBI:16226],CHEBI:16226
crispolide [ChEBI:73231],CHEBI:73231
helicin [ChEBI:73235],CHEBI:73235
cucurbitacin E [ChEBI:3944],CHEBI:3944
andrographolide [ChEBI:65408],CHEBI:65408
allyl isothiocyanate [ChEBI:73224],CHEBI:73224
arborescin [ChEBI:73226],CHEBI:73226
papaverine [ChEBI:28241],CHEBI:28241
colchicine [ChEBI:23359],CHEBI:23359
arglabin [ChEBI:73228],CHEBI:73228
strychnine [ChEBI:28973],CHEBI:28973
erythromycin [ChEBI:48923],CHEBI:48923
picrotoxinin [ChEBI:8206],CHEBI:8206
caffeine [ChEBI:27732],CHEBI:27732
salicin [ChEBI:17814],CHEBI:17814
yohimbine [ChEBI:10093],CHEBI:10093
Cnicin [ChEBI:3768],CHEBI:3768
coumarin [ChEBI:28794],CHEBI:28794
brucine [ChEBI:3193],CHEBI:3193
estrogen [ChEBI:50114],CHEBI:50114
2-oxoglutarate(2-) [ChEBI:16810],CHEBI:16810
prostaglandin D2 [ChEBI:15555],CHEBI:15555
"7alpha,25-dihydroxycholesterol [ChEBI:37623]",CHEBI:37623
melatonin [ChEBI:16796],CHEBI:16796
N-arachidonoylglycine [ChEBI:58961],CHEBI:58961
5-oxo-ETE [ChEBI:52449],CHEBI:52449
N-acetyl-beta-D-glucosamine [ChEBI:28009],CHEBI:28009
D-fucose [ChEBI:28847],CHEBI:28847
(1->3)-beta-D-glucan [ChEBI:37671],CHEBI:37671
lipoteichoic acid [ChEBI:28640],CHEBI:28640
N-acetyl-alpha-D-galactosamine [ChEBI:40356],CHEBI:40356
9-O-acetylneuraminic acid [ChEBI:28879],CHEBI:28879
phosphocholines [ChEBI:36700],CHEBI:36700
lipoxin B4 [ChEBI:6499],CHEBI:6499
iron(2+) [ChEBI:29033],CHEBI:29033
dioxygen [ChEBI:15379],CHEBI:15379
15(S)-HPETE [ChEBI:15628],CHEBI:15628
"1,2-diacyl-sn-glycero-3-phosphocholine(1+) [ChEBI:16110]",CHEBI:16110
1-O-acyl-sn-glycero-3-phosphocholine(1+) [ChEBI:17504],CHEBI:17504
triglyceride [ChEBI:17855],CHEBI:17855
cholesteryl ester [ChEBI:17002],CHEBI:17002
cholesterol [ChEBI:16113],CHEBI:16113
2-phenylethylamine [ChEBI:18397],CHEBI:18397
deoxycholic acid [ChEBI:28834],CHEBI:28834
cholic acid [ChEBI:16359],CHEBI:16359
lithocholic acid [ChEBI:16325],CHEBI:16325
chenodeoxycholic acid [ChEBI:16755],CHEBI:16755
prostaglandin I2 [ChEBI:15552],CHEBI:15552
diazoxide [ChEBI:4495],CHEBI:4495
heparan sulfate [ChEBI:28815],CHEBI:28815
UDP-N-acetyl-D-galactosamine [ChEBI:16650],CHEBI:16650
fatty acid [ChEBI:35366],CHEBI:35366
alpha-D-glucose [ChEBI:17925],CHEBI:17925
octanoic acid [ChEBI:28837],CHEBI:28837
decanoic acid [ChEBI:30813],CHEBI:30813
"1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate [ChEBI:16152]",CHEBI:16152
magnesium(2+) [ChEBI:18420],CHEBI:18420
manganese(2+) [ChEBI:29035],CHEBI:29035
1-phosphatidyl-1D-myo-inositol 4-phosphate [ChEBI:17526],CHEBI:17526
1-phosphatidyl-1D-myo-inositol 5-phosphate [ChEBI:16500],CHEBI:16500
CDP-choline [ChEBI:16436],CHEBI:16436
choline [ChEBI:15354],CHEBI:15354
acetate [ChEBI:30089],CHEBI:30089
phosphatidic acid [ChEBI:16337],CHEBI:16337
2-acyl-sn-glycero-3-phosphocholine(1+) [ChEBI:16728],CHEBI:16728
acyl-CoA [ChEBI:17984],CHEBI:17984
long-chain fatty acid anion [ChEBI:57560],CHEBI:57560
1-acyl-sn-glycero-3-phospho-D-myo-inositol [ChEBI:28914],CHEBI:28914
2-acyl-sn-glycero-3-phospho-D-myo-inositol [ChEBI:62746],CHEBI:62746
phosphatidyl-L-serine [ChEBI:18303],CHEBI:18303
25-hydroxycholesterol [ChEBI:42977],CHEBI:42977
myo-inositol [ChEBI:17268],CHEBI:17268
CDP-diacylglycerol [ChEBI:17962],CHEBI:17962
1-acyl-sn-glycerol 3-phosphate [ChEBI:16975],CHEBI:16975
NADPH [ChEBI:16474],CHEBI:16474
1-alkylglycerone 3-phosphate [ChEBI:17197],CHEBI:17197
1-hexadecyl-sn-glycerol 3-phosphate [ChEBI:63818],CHEBI:63818
NADP(+) [ChEBI:18009],CHEBI:18009
FAD [ChEBI:16238],CHEBI:16238
1-palmitoylglycerone 3-phosphate [ChEBI:17868],CHEBI:17868
hexadecan-1-ol [ChEBI:16125],CHEBI:16125
dihydroxyacetone phosphate [ChEBI:16108],CHEBI:16108
palmitoyl-CoA [ChEBI:15525],CHEBI:15525
long-chain fatty acid [ChEBI:15904],CHEBI:15904
sn-glycerol 3-phosphate [ChEBI:15978],CHEBI:15978
fatty acyl-CoA [ChEBI:37554],CHEBI:37554
NADH(2-) [ChEBI:57945],CHEBI:57945
glycerol [ChEBI:17754],CHEBI:17754
sn-glycero-3-phosphoethanolamine [ChEBI:16929],CHEBI:16929
ethanolamine [ChEBI:16000],CHEBI:16000
2-acyl-sn-glycero-3-phosphoethanolamine [ChEBI:28936],CHEBI:28936
CDP-ethanolamine [ChEBI:16732],CHEBI:16732
2-monoglyceride [ChEBI:17389],CHEBI:17389
monoglyceride [ChEBI:17408],CHEBI:17408
O-phosphoethanolamine [ChEBI:17553],CHEBI:17553
D-xylulose 5-phosphate(2-) [ChEBI:57737],CHEBI:57737
thiamine(1+) diphosphate(3-) [ChEBI:58937],CHEBI:58937
D-erythrose 4-phosphate(2-) [ChEBI:16897],CHEBI:16897
keto-D-fructose 6-phosphate [ChEBI:15946],CHEBI:15946
D-glyceraldehyde 3-phosphate [ChEBI:29052],CHEBI:29052
D-ribulose 5-phosphate [ChEBI:17363],CHEBI:17363
D-xylulose [ChEBI:17140],CHEBI:17140
xylitol [ChEBI:17151],CHEBI:17151
L-xylulose [ChEBI:17399],CHEBI:17399
3-dehydro-L-gulonate [ChEBI:57655],CHEBI:57655
carbon dioxide [ChEBI:16526],CHEBI:16526
L-gulonate [ChEBI:13115],CHEBI:13115
D-glucuronate [ChEBI:15748],CHEBI:15748
6-phospho-D-gluconate [ChEBI:16863],CHEBI:16863
"6-O-phosphono-D-glucono-1,5-lactone [ChEBI:16938]",CHEBI:16938
alpha-D-glucose 6-phosphate [ChEBI:17665],CHEBI:17665
"keto-D-fructose 1,6-bisphosphate [ChEBI:16905]",CHEBI:16905
citric acid [ChEBI:30769],CHEBI:30769
"beta-D-fructofuranose 2,6-bisphosphate [ChEBI:28602]",CHEBI:28602
alpha-D-glucosamine 6-phosphate [ChEBI:15873],CHEBI:15873
ammonium [ChEBI:28938],CHEBI:28938
keto-D-fructose 1-phosphate [ChEBI:18105],CHEBI:18105
D-glyceraldehyde [ChEBI:17378],CHEBI:17378
D-fructose [ChEBI:15824],CHEBI:15824
potassium(1+) [ChEBI:29103],CHEBI:29103
3-phospho-D-glyceroyl dihydrogen phosphate [ChEBI:16001],CHEBI:16001
3-phospho-D-glyceric acid [ChEBI:17794],CHEBI:17794
2-phospho-D-glyceric acid [ChEBI:17835],CHEBI:17835
phosphoenolpyruvate [ChEBI:18021],CHEBI:18021
oxaloacetic acid [ChEBI:30744],CHEBI:30744
biotin [ChEBI:15956],CHEBI:15956
pyruvic acid [ChEBI:32816],CHEBI:32816
"3',5'-cyclic AMP [ChEBI:17489]",CHEBI:17489
L-alanine zwitterion [ChEBI:57972],CHEBI:57972
(S)-malic acid [ChEBI:30797],CHEBI:30797
L-aspartate(1-) [ChEBI:29991],CHEBI:29991
2-oxoadipic acid [ChEBI:15753],CHEBI:15753
fumaric acid [ChEBI:18012],CHEBI:18012
succinyl-CoA(5-) [ChEBI:57292],CHEBI:57292
cobamamide [ChEBI:18408],CHEBI:18408
(R)-methylmalonyl-CoA [ChEBI:15465],CHEBI:15465
cob(I)alamin [ChEBI:15982],CHEBI:15982
triphosphate ion [ChEBI:15266],CHEBI:15266
cob(II)alamin [ChEBI:16304],CHEBI:16304
cyanocob(III)alamin [ChEBI:17439],CHEBI:17439
hydrogen cyanide [ChEBI:18407],CHEBI:18407
cob(III)alamin [ChEBI:28911],CHEBI:28911
(S)-methylmalonyl-CoA [ChEBI:15466],CHEBI:15466
propionyl-CoA [ChEBI:15539],CHEBI:15539
2-methylacetoacetyl-CoA [ChEBI:15476],CHEBI:15476
"(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA [ChEBI:15449]",CHEBI:15449
2-methylcrotonoyl-CoA [ChEBI:15478],CHEBI:15478
2-methylbutanoyl-CoA [ChEBI:15477],CHEBI:15477
FADH2 [ChEBI:17877],CHEBI:17877
3-methyl-2-oxobutanoic acid [ChEBI:16530],CHEBI:16530
3-methyl-2-oxovalerate [ChEBI:28654],CHEBI:28654
4-methyl-2-oxopentanoate [ChEBI:17865],CHEBI:17865
isobutyryl-CoA [ChEBI:15479],CHEBI:15479
isovaleryl-CoA [ChEBI:15487],CHEBI:15487
L-isoleucine zwitterion [ChEBI:58045],CHEBI:58045
L-valine zwitterion [ChEBI:57762],CHEBI:57762
L-leucine zwitterion [ChEBI:57427],CHEBI:57427
2-methyl-3-oxopropanoic acid [ChEBI:16256],CHEBI:16256
3-hydroxyisobutyrate [ChEBI:11805],CHEBI:11805
(S)-3-hydroxyisobutyryl-CoA [ChEBI:28259],CHEBI:28259
methacrylyl-CoA [ChEBI:27754],CHEBI:27754
lipoamide [ChEBI:17460],CHEBI:17460
D-threo-isocitric acid [ChEBI:151],CHEBI:151
all-trans-retinoic acid [ChEBI:15367],CHEBI:15367
4-oxobutanoate [ChEBI:57706],CHEBI:57706
di-mu-sulfido-diiron(0) [ChEBI:33739],CHEBI:33739
sodium(1+) [ChEBI:29101],CHEBI:29101
coenzyme Q10 [ChEBI:46245],CHEBI:46245
ubiquinol [ChEBI:17976],CHEBI:17976
linoleoyl-CoA [ChEBI:15530],CHEBI:15530
"(3Z,6Z)-dodecadienoyl-CoA [ChEBI:28002]",CHEBI:28002
cis-dec-4-enoyl-CoA [ChEBI:29140],CHEBI:29140
"(2E,4Z)-deca-2,4-dienoyl-CoA [ChEBI:29119]",CHEBI:29119
"(2-trans,6-cis)-dodeca-2,6-dienoyl-CoA [ChEBI:28387]",CHEBI:28387
D-glucopyranose 1-phosphate [ChEBI:16077],CHEBI:16077
alpha-D-galactose 1-phosphate [ChEBI:17973],CHEBI:17973
UDP-D-galactose [ChEBI:18307],CHEBI:18307
aldehydo-D-galactose [ChEBI:17118],CHEBI:17118
sedoheptulose 7-phosphate [ChEBI:15721],CHEBI:15721
D-ribose 5-phosphate [ChEBI:78679],CHEBI:78679
D-ribofuranose [ChEBI:47013],CHEBI:47013
1-acyl-sn-glycero-3-phosphoethanolamine [ChEBI:29017],CHEBI:29017
2-monolysocardiolipin [ChEBI:60430],CHEBI:60430
cardiolipin [ChEBI:28494],CHEBI:28494
pyruvoyl group [ChEBI:45360],CHEBI:45360
L-serine zwitterion [ChEBI:33384],CHEBI:33384
2-acyl-sn-glycero-3-phosphoserine [ChEBI:37646],CHEBI:37646
1-acyl-sn-glycero-3-phosphoserine [ChEBI:52603],CHEBI:52603
phosphatidylglycerol [ChEBI:17517],CHEBI:17517
choline alfoscerate [ChEBI:16870],CHEBI:16870
lysophosphatidylcholine [ChEBI:60479],CHEBI:60479
1-(3-sn-phosphatidyl)-sn-glycerol 3-phosphate [ChEBI:37393],CHEBI:37393
"2,2'-dilysocardiolipin [ChEBI:60431]",CHEBI:60431
pioglitazone [ChEBI:8228],CHEBI:8228
13(S)-HODE [ChEBI:34154],CHEBI:34154
9(S)-HODE [ChEBI:34496],CHEBI:34496
gamma-D-glutamyl-meso-diaminopimelic acid [ChEBI:59271],CHEBI:59271
muramyl dipeptide [ChEBI:59414],CHEBI:59414
ADP-L-glycero-D-manno-heptose [ChEBI:15915],CHEBI:15915
diacyl lipopeptide [ChEBI:46896],CHEBI:46896
peptidoglycan [ChEBI:8005],CHEBI:8005
lipopolysaccharide [ChEBI:16412],CHEBI:16412
triacyl lipopeptide [ChEBI:60192],CHEBI:60192
D-serine [ChEBI:16523],CHEBI:16523
glycine zwitterion [ChEBI:57305],CHEBI:57305
GDP-L-fucose [ChEBI:17009],CHEBI:17009
CMP-N-acetyl-beta-neuraminic acid [ChEBI:16556],CHEBI:16556
UDP-N-acetyl-alpha-D-glucosamine [ChEBI:16264],CHEBI:16264
"1,2-diacyl-sn-glycerol 3-phosphate [ChEBI:29089]",CHEBI:29089
formaldehyde [ChEBI:16842],CHEBI:16842
methanol [ChEBI:17790],CHEBI:17790
glutathione disulfide [ChEBI:17858],CHEBI:17858
glutathione [ChEBI:16856],CHEBI:16856
L-dehydroascorbate [ChEBI:58539],CHEBI:58539
L-ascorbate [ChEBI:38290],CHEBI:38290
hydrogen peroxide [ChEBI:16240],CHEBI:16240
copper(2+) [ChEBI:29036],CHEBI:29036
superoxide [ChEBI:18421],CHEBI:18421
copper(1+) [ChEBI:49552],CHEBI:49552
copper atom [ChEBI:28694],CHEBI:28694
ferroheme [ChEBI:38573],CHEBI:38573
ferriheme [ChEBI:38574],CHEBI:38574
octanoyl-CoA [ChEBI:15533],CHEBI:15533
trans-oct-2-enoyl-CoA [ChEBI:27537],CHEBI:27537
3-oxodecanoyl-CoA [ChEBI:28528],CHEBI:28528
(S)-3-hydroxydecanoyl-CoA [ChEBI:28325],CHEBI:28325
trans-dec-2-enoyl-CoA [ChEBI:10723],CHEBI:10723
decanoyl-CoA [ChEBI:28493],CHEBI:28493
3-oxolauroyl-CoA [ChEBI:27868],CHEBI:27868
(S)-3-hydroxylauroyl-CoA [ChEBI:27668],CHEBI:27668
trans-dodec-2-enoyl-CoA [ChEBI:15471],CHEBI:15471
lauroyl-CoA [ChEBI:15521],CHEBI:15521
3-oxotetradecanoyl-CoA [ChEBI:28726],CHEBI:28726
(S)-3-hydroxytetradecanoyl-CoA [ChEBI:27466],CHEBI:27466
trans-tetradec-2-enoyl-CoA [ChEBI:27721],CHEBI:27721
myristoyl-CoA [ChEBI:15532],CHEBI:15532
3-oxopalmitoyl-CoA [ChEBI:15491],CHEBI:15491
(S)-3-hydroxypalmitoyl-CoA [ChEBI:27402],CHEBI:27402
(E)-hexadec-2-enoyl-CoA [ChEBI:28935],CHEBI:28935
trans-dec-3-enoyl-CoA [ChEBI:29126],CHEBI:29126
hexanoyl-CoA [ChEBI:27540],CHEBI:27540
trans-hex-2-enoyl-CoA [ChEBI:28706],CHEBI:28706
3-oxooctanoyl-CoA [ChEBI:28264],CHEBI:28264
(S)-3-hydroxyoctanoyl-CoA [ChEBI:28632],CHEBI:28632
butyryl-CoA [ChEBI:15517],CHEBI:15517
crotonoyl-CoA [ChEBI:15473],CHEBI:15473
3-oxohexanoyl-CoA [ChEBI:27648],CHEBI:27648
(S)-3-hydroxyhexanoyl-CoA [ChEBI:28276],CHEBI:28276
FMN [ChEBI:17621],CHEBI:17621
(S)-3-hydroxybutanoyl-CoA [ChEBI:15453],CHEBI:15453
acetoacetyl-CoA [ChEBI:15345],CHEBI:15345
glutaryl-CoA [ChEBI:15524],CHEBI:15524
L-glutamine zwitterion [ChEBI:58359],CHEBI:58359
2'-deoxyadenosine 5'-monophosphate [ChEBI:17713],CHEBI:17713
dADP [ChEBI:16174],CHEBI:16174
2'-deoxyadenosine [ChEBI:17256],CHEBI:17256
"N(6)-(1,2-dicarboxyethyl)-AMP [ChEBI:15919]",CHEBI:15919
fumarate(1-) [ChEBI:37154],CHEBI:37154
IMP [ChEBI:17202],CHEBI:17202
5-formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide [ChEBI:18381],CHEBI:18381
AICA ribonucleotide [ChEBI:18406],CHEBI:18406
10-formyltetrahydrofolic acid [ChEBI:15637],CHEBI:15637
"(6S)-5,6,7,8-tetrahydrofolic acid [ChEBI:15635]",CHEBI:15635
SAICAR [ChEBI:18319],CHEBI:18319
5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylic acid [ChEBI:28413],CHEBI:28413
5-amino-1-(5-phospho-D-ribosyl)imidazole [ChEBI:28843],CHEBI:28843
2-formamido-N(1)-(5-phospho-D-ribosyl)acetamidine [ChEBI:18413],CHEBI:18413
N(2)-formyl-N(1)-(5-phospho-D-ribosyl)glycinamide [ChEBI:18272],CHEBI:18272
N(1)-(5-phospho-D-ribosyl)glycinamide [ChEBI:18349],CHEBI:18349
5-phospho-D-ribosylamine [ChEBI:17284],CHEBI:17284
polysulfur [ChEBI:17909],CHEBI:17909
5-O-phosphono-alpha-D-ribofuranosyl diphosphate [ChEBI:17111],CHEBI:17111
fatty acid anion [ChEBI:28868],CHEBI:28868
(3S)-3-hydroxy-3-methylglutaryl-CoA [ChEBI:15467],CHEBI:15467
acetoacetate [ChEBI:13705],CHEBI:13705
(R)-3-hydroxybutyrate [ChEBI:10983],CHEBI:10983
acetoacetic acid [ChEBI:15344],CHEBI:15344
(R)-3-hydroxybutyric acid [ChEBI:17066],CHEBI:17066
docosanoyl-CoA [ChEBI:65088],CHEBI:65088
"2,3-dehydrobehenoyl-CoA [ChEBI:85880]",CHEBI:85880
medium-chain fatty acyl-CoA [ChEBI:61907],CHEBI:61907
long-chain fatty acyl-CoA [ChEBI:33184],CHEBI:33184
medium-chain fatty acid [ChEBI:59554],CHEBI:59554
O-palmitoyl-L-carnitine [ChEBI:17490],CHEBI:17490
carnitine [ChEBI:17126],CHEBI:17126
malonyl-CoA [ChEBI:15531],CHEBI:15531
diphosphate(3-) [ChEBI:33019],CHEBI:33019
2-methylpentadecenoyl-CoA [ChEBI:85944],CHEBI:85944
2-methylpentadec-2-enoyl-CoA [ChEBI:85945],CHEBI:85945
3-oxo-fatty acyl-CoA [ChEBI:15489],CHEBI:15489
heparan sulfate alpha-D-glucosaminide [ChEBI:18137],CHEBI:18137
heparan sulfate N-acetyl-alpha-D-glucosaminide [ChEBI:17421],CHEBI:17421
"1D-myo-inositol 1,3,4,5-tetrakisphosphate [ChEBI:16783]",CHEBI:16783
"1D-myo-inositol 1,3,4-trisphosphate [ChEBI:18228]",CHEBI:18228
"myo-inositol 1,3,4,6-tetrakisphosphate [ChEBI:16155]",CHEBI:16155
"1D-myo-inositol 3,4,6-trisphosphate [ChEBI:62918]",CHEBI:62918
"3',5'-cyclic GMP [ChEBI:16356]",CHEBI:16356
iron(3+) [ChEBI:29034],CHEBI:29034
sphingosine [ChEBI:16393],CHEBI:16393
ferroheme b [ChEBI:17627],CHEBI:17627
nitric oxide [ChEBI:16480],CHEBI:16480
nitrate [ChEBI:17632],CHEBI:17632
sepiapterin [ChEBI:16095],CHEBI:16095
"D-erythro-7,8-dihydrobiopterin [ChEBI:15375]",CHEBI:15375
"N(omega),N'(omega)-dimethyl-L-arginine [ChEBI:25682]",CHEBI:25682
L-citrulline [ChEBI:16349],CHEBI:16349
dimethylamine [ChEBI:17170],CHEBI:17170
peroxynitrite [ChEBI:25941],CHEBI:25941
"5,6,7,8-tetrahydrobiopterin [ChEBI:15372]",CHEBI:15372
"5,6,7,8-tetrahydrobiopterin radical cation [ChEBI:62772]",CHEBI:62772
dyspropterin [ChEBI:17804],CHEBI:17804
"7,8-dihydroneopterin 3'-triphosphate [ChEBI:18372]",CHEBI:18372
L-phenylalanine zwitterion [ChEBI:58095],CHEBI:58095
monodehydro-L-ascorbate(1-) [ChEBI:59513],CHEBI:59513
isopentenyl diphosphate [ChEBI:16584],CHEBI:16584
"2-trans,6-trans-farnesyl diphosphate [ChEBI:17407]",CHEBI:17407
all-trans-decaprenyl diphosphate [ChEBI:61011],CHEBI:61011
